Date,State,Total,Category,lag_1,lag_4,lag_12,rolling_mean_4,rolling_std_4,day_of_week,month,quarter,week_of_year,year,is_holiday,month_sin,month_cos,state_encoded
2019-04-07,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,4,2,14,2019,0,0.8660254037844387,-0.4999999999999998,0
2019-04-14,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,4,2,15,2019,0,0.8660254037844387,-0.4999999999999998,0
2019-04-21,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,4,2,16,2019,0,0.8660254037844387,-0.4999999999999998,0
2019-04-28,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,4,2,17,2019,0,0.8660254037844387,-0.4999999999999998,0
2019-05-05,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,5,2,18,2019,0,0.49999999999999994,-0.8660254037844387,0
2019-05-12,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,5,2,19,2019,0,0.49999999999999994,-0.8660254037844387,0
2019-05-19,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,5,2,20,2019,0,0.49999999999999994,-0.8660254037844387,0
2019-05-26,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,5,2,21,2019,0,0.49999999999999994,-0.8660254037844387,0
2019-06-02,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,6,2,22,2019,0,1.2246467991473532e-16,-1.0,0
2019-06-09,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,6,2,23,2019,0,1.2246467991473532e-16,-1.0,0
2019-06-16,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,6,2,24,2019,0,1.2246467991473532e-16,-1.0,0
2019-06-23,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,6,2,25,2019,0,1.2246467991473532e-16,-1.0,0
2019-06-30,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,6,2,26,2019,0,1.2246467991473532e-16,-1.0,0
2019-07-07,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,7,3,27,2019,0,-0.4999999999999997,-0.8660254037844388,0
2019-07-14,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,7,3,28,2019,0,-0.4999999999999997,-0.8660254037844388,0
2019-07-21,Alabama,123782285.8,Beverages,123782285.8,123782285.8,123782285.8,123782285.8,0.0,6,7,3,29,2019,0,-0.4999999999999997,-0.8660254037844388,0
